City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Labuhan,ID,86.31,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
255,Wanaraja,ID,82.26,broken clouds,-7.1749,107.9808,Undang Beras
259,Samarai,PG,84.78,scattered clouds,-10.6167,150.6667,Nuli Sapi
262,Gamba,GA,77.77,light rain,-2.65,10.0,
271,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
277,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
280,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
285,Airai,TL,77.38,overcast clouds,-8.9266,125.4092,Juvinal Martin
286,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
287,Itaituba,BR,75.4,overcast clouds,-4.2761,-55.9836,Hotel Campos
290,Isangel,VU,81.72,broken clouds,-19.55,169.2667,Tanna Lodge
292,Gizo,SB,85.39,light rain,-8.103,156.8419,Imagination Island
302,Bengkulu,ID,84.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
307,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
313,Bagaces,CR,75.13,clear sky,10.5271,-85.2548,Cabinas Tamarindo Bagaces
315,Buala,SB,86.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
322,Hobyo,SO,79.02,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
324,Wanning,CN,81.81,clear sky,18.8003,110.3967,Paradise Hotel
327,Bombay,IN,80.58,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
330,Sao Bernardo,BR,77.76,broken clouds,-3.3614,-42.4178,Hotel Prado
339,Sibolga,ID,77.47,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
343,Tchaourou,BJ,75.43,scattered clouds,8.8865,2.5975,SAFIR HOTEL
346,Cabedelo,BR,79.38,few clouds,-6.9811,-34.8339,Hotel Pigalle
350,Manokwari,ID,85.59,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
353,Ziniare,BF,75.38,scattered clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
358,Kavieng,PG,85.57,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
360,Alice Springs,AU,85.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
368,Atambua,ID,86.04,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
370,Neiafu,TO,80.65,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
371,Mildura,AU,84.07,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
372,Kiunga,PG,89.82,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
375,Kawalu,ID,86.13,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
376,Taoudenni,ML,75.96,broken clouds,22.6783,-3.9836,
377,Tagusao,PH,84.92,scattered clouds,9.1924,117.8141,Toledo
381,Saint-Joseph,RE,77.36,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
386,Iralaya,HN,76.91,overcast clouds,15.0,-83.2333,Iglesia morava renovada
398,Nabire,ID,87.22,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
401,Port Blair,IN,84.33,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
402,Kannangad,IN,78.13,few clouds,12.3081,75.1063,Hotel Landmark
409,Mahibadhoo,MV,81.61,few clouds,3.7833,72.9667,Omadhoo Inn
415,Mogadishu,SO,78.3,overcast clouds,2.0371,45.3438,Hotel Juba
417,Kirakira,SB,85.62,scattered clouds,-10.4544,161.9205,SanBiz Lodge
420,Le Port,RE,78.76,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
426,Sibu,MY,89.87,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
427,Salinopolis,BR,80.69,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
432,Rapar,IN,78.58,scattered clouds,23.5667,70.6333,Dharamshi Bapa’s Home
437,Terra Santa,BR,75.69,overcast clouds,-2.1042,-56.4869,Hotel Sarah
442,Yulara,AU,86.77,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
453,Miri,MY,87.24,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
454,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
456,Leeton,AU,79.9,scattered clouds,-34.5667,146.4,Historic Hydro Motor Inn
469,Port Pirie,AU,77.18,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
470,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
492,Murray Bridge,AU,80.85,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
495,Srivardhan,IN,78.76,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
496,Arroyohondo,CO,80.26,overcast clouds,10.2522,-75.0198,Luis coronado
499,Galle,LK,81.46,broken clouds,6.0367,80.217,Amangalla
505,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
510,Kerema,PG,85.71,overcast clouds,-7.9631,145.7785,Frena Lodge
511,Buchanan,LR,77.14,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
513,Mudon,MM,83.03,broken clouds,16.2578,97.7164,Motel Mudon
520,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
524,Takoradi,GH,79.36,few clouds,4.8845,-1.7554,Raybow International Hotel
525,Ipixuna,BR,78.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
