City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
104,Virginia Beach,36.8529,-75.978,59.02,92,100,8.95,US,overcast clouds,2021-11-22 02:50:08
105,Teeswater,43.9959,-81.2865,43.45,87,74,27.78,CA,broken clouds,2021-11-22 02:53:54
106,San Quintin,30.4833,-115.95,63.27,76,100,4.97,MX,overcast clouds,2021-11-22 02:50:54
107,Haimen,23.1935,116.6142,67.89,57,51,14.99,CN,broken clouds,2021-11-22 02:53:55
108,Filingue,14.3521,3.3168,78.42,18,4,9.82,NE,clear sky,2021-11-22 02:53:55
109,Saint-Philippe,-21.3585,55.7679,78.35,66,3,3.33,RE,clear sky,2021-11-22 02:53:56
110,Prainha,-1.8,-53.48,73.74,97,100,2.62,BR,overcast clouds,2021-11-22 02:53:56
111,Emerald,-23.5333,148.1667,89.74,33,40,13.8,AU,scattered clouds,2021-11-22 02:53:56
112,Manjacaze,-24.7117,33.8828,67.26,91,100,5.73,MZ,light rain,2021-11-22 02:53:57
113,Narsaq,60.9167,-46.05,23.7,97,99,4.97,GL,overcast clouds,2021-11-22 02:53:57
114,Verkhnevilyuysk,63.4453,120.3167,-23.85,97,83,1.88,RU,broken clouds,2021-11-22 02:53:58
115,Umm Kaddadah,13.6017,26.6876,65.28,31,60,11.61,SD,broken clouds,2021-11-22 02:53:58
116,Merauke,-8.4667,140.3333,86.25,69,79,4.07,ID,broken clouds,2021-11-22 02:53:58
117,Kulhudhuffushi,6.6221,73.07,81.28,70,100,13.6,MV,overcast clouds,2021-11-22 02:53:59
118,Victoria,22.2855,114.1577,69.24,82,100,5.01,HK,overcast clouds,2021-11-22 02:51:41
119,Krk,45.0258,14.5731,50.56,83,100,5.14,HR,overcast clouds,2021-11-22 02:53:59
120,Billings,45.7833,-108.5007,42.93,54,35,8.57,US,scattered clouds,2021-11-22 02:54:00
121,Filadelfia,39.9523,-75.1638,52.11,88,90,1.99,US,overcast clouds,2021-11-22 02:53:42
122,Umkomaas,-30.2067,30.7978,68.59,92,100,10.07,ZA,overcast clouds,2021-11-22 02:54:00
123,Pierre,44.3683,-100.351,28.85,57,80,1.01,US,broken clouds,2021-11-22 02:54:01
124,Hovd,48.0056,91.6419,15.64,30,54,1.45,MN,broken clouds,2021-11-22 02:54:01
125,Acapulco,16.8634,-99.8901,78.58,78,0,2.53,MX,clear sky,2021-11-22 02:54:02
126,Kalevala,65.2,31.1667,17.85,82,6,10.25,RU,clear sky,2021-11-22 02:54:02
127,Flin Flon,54.7682,-101.865,8.56,90,100,1.61,CA,overcast clouds,2021-11-22 02:50:06
128,Brae,60.3964,-1.353,46.31,89,100,24.56,GB,overcast clouds,2021-11-22 02:54:03
129,Parker,32.7668,-97.8003,56.73,50,100,7.0,US,overcast clouds,2021-11-22 02:54:03
130,Hope,33.6671,-93.5916,62.65,90,100,9.66,US,overcast clouds,2021-11-22 02:54:03
131,Khatanga,71.9667,102.5,-32.1,99,6,5.19,RU,clear sky,2021-11-22 02:54:04
132,Otane,-39.8833,176.6333,73.38,68,100,7.78,NZ,overcast clouds,2021-11-22 02:54:04
133,Luderitz,-26.6481,15.1594,58.46,82,26,8.63,NA,scattered clouds,2021-11-22 02:54:04
134,Broome,42.2506,-75.833,44.2,79,90,3.0,US,overcast clouds,2021-11-22 02:54:05
135,Victor Harbor,-35.5667,138.6167,80.19,68,100,1.01,AU,overcast clouds,2021-11-22 02:54:06
136,Dingle,10.9995,122.6711,86.67,71,63,8.63,PH,broken clouds,2021-11-22 02:54:06
137,Beringovskiy,63.05,179.3167,0.01,99,98,13.31,RU,overcast clouds,2021-11-22 02:54:07
138,Port Elizabeth,-33.918,25.5701,67.1,94,90,3.44,ZA,overcast clouds,2021-11-22 02:52:20
139,Kargil,34.5667,76.1,14.29,56,0,1.63,IN,clear sky,2021-11-22 02:54:07
140,Lebu,-37.6167,-73.65,54.37,91,81,18.84,CL,broken clouds,2021-11-22 02:54:08
141,Dakar,14.6937,-17.4441,77.88,83,84,20.13,SN,broken clouds,2021-11-22 02:54:08
142,Padang,-0.9492,100.3543,86.05,62,79,1.43,ID,broken clouds,2021-11-22 02:54:08
143,Shimanovsk,52.0,127.7,13.53,63,100,12.84,RU,overcast clouds,2021-11-22 02:54:10
144,Olafsvik,64.8945,-23.7142,43.09,83,100,18.97,IS,overcast clouds,2021-11-22 02:55:10
145,Chicama,-7.8447,-79.1469,61.34,84,84,4.54,PE,broken clouds,2021-11-22 02:55:10
146,Belz,47.6751,-3.168,45.21,90,96,5.99,FR,overcast clouds,2021-11-22 02:55:11
147,Hofn,64.2539,-15.2082,41.95,63,75,12.64,IS,broken clouds,2021-11-22 02:55:11
148,New Norfolk,-42.7826,147.0587,73.65,33,37,3.0,AU,scattered clouds,2021-11-22 02:55:12
149,Tazovskiy,67.4667,78.7,5.22,95,100,21.72,RU,light snow,2021-11-22 02:55:12
150,Kaitangata,-46.2817,169.8464,51.19,82,100,4.32,NZ,overcast clouds,2021-11-22 02:55:12
151,Sonoita,31.85,-112.8333,68.52,21,98,6.49,MX,overcast clouds,2021-11-22 02:55:13
152,Santa Lucia,27.9117,-15.5407,59.76,78,0,4.61,ES,clear sky,2021-11-22 02:55:13
153,Vardo,70.3705,31.1107,27.19,63,100,18.41,NO,light snow,2021-11-22 02:55:14
154,Cabo San Lucas,22.8909,-109.9124,74.52,71,87,4.41,MX,overcast clouds,2021-11-22 02:55:14
155,Te Anau,-45.4167,167.7167,56.23,80,97,2.77,NZ,overcast clouds,2021-11-22 02:50:47
156,Ojinaga,29.5667,-104.4167,64.42,33,40,12.66,MX,scattered clouds,2021-11-22 02:55:15
157,Bogotol,56.2078,89.5342,20.55,84,100,8.16,RU,overcast clouds,2021-11-22 02:55:16
158,Lorengau,-2.0226,147.2712,84.02,74,61,5.66,PG,broken clouds,2021-11-22 02:55:16
159,Esperance,-33.8667,121.9,76.84,57,53,11.9,AU,broken clouds,2021-11-22 02:55:16
160,Ilulissat,69.2167,-51.1,15.69,95,100,5.93,GL,light snow,2021-11-22 02:54:41
161,Nanortalik,60.1432,-45.2371,30.04,94,75,11.03,GL,broken clouds,2021-11-22 02:50:44
162,Olinda,-8.0089,-34.8553,82.13,69,40,9.22,BR,scattered clouds,2021-11-22 02:53:55
163,Agirish,61.9247,63.0231,17.01,97,100,3.27,RU,light snow,2021-11-22 02:55:18
164,Cape Town,-33.9258,18.4232,66.61,80,20,26.46,ZA,few clouds,2021-11-22 02:54:03
165,Butaritari,3.0707,172.7902,81.41,78,21,9.28,KI,few clouds,2021-11-22 02:55:18
166,Himatnagar,23.6,72.95,74.21,59,79,6.87,IN,broken clouds,2021-11-22 02:55:19
167,Maumere,-8.6199,122.2111,85.96,68,99,1.21,ID,overcast clouds,2021-11-22 02:55:19
168,Faanui,-16.4833,-151.75,80.01,67,4,4.07,PF,clear sky,2021-11-22 02:55:20
169,Yellowknife,62.456,-114.3525,6.42,89,90,11.5,CA,light snow,2021-11-22 02:55:20
170,Champerico,14.3,-91.9167,80.76,77,26,3.44,GT,scattered clouds,2021-11-22 02:55:20
171,Kismayo,-0.3582,42.5454,78.42,78,75,7.56,SO,broken clouds,2021-11-22 02:55:21
172,Lazaro Cardenas,17.9583,-102.2,77.05,82,0,2.91,MX,clear sky,2021-11-22 02:55:21
173,Westport,41.1415,-73.3579,53.98,94,100,1.01,US,overcast clouds,2021-11-22 02:55:22
174,Natal,-5.795,-35.2094,81.25,83,40,11.5,BR,scattered clouds,2021-11-22 02:51:01
